Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
05/08/94,Celje,Set Vevče,5,0,H
06/08/94,Gorica,Mura,2,2,D
06/08/94,Izola,Olimpija Ljubljana,0,2,A
07/08/94,Potrošnik Beltinci,Primorje,2,1,H
07/08/94,Jadran Dekani,Gaj Kočevje,0,0,D
07/08/94,Ljubljana,Koper,1,2,A
07/08/94,Živila Naklo,Relax Korotan,2,3,A
07/08/94,Maribor,Rudar Velenje,3,2,H
12/08/94,Celje,Ljubljana,1,0,H
13/08/94,Set Vevče,Rudar Velenje,0,0,D
14/08/94,Olimpija Ljubljana,Maribor,2,1,H
14/08/94,Gaj Kočevje,Izola,4,3,H
14/08/94,Primorje,Jadran Dekani,5,1,H
14/08/94,Mura,Potrošnik Beltinci,1,2,A
14/08/94,Relax Korotan,Gorica,2,1,H
14/08/94,Koper,Živila Naklo,2,1,H
20/08/94,Jadran Dekani,Mura,0,3,A
20/08/94,Rudar Velenje,Olimpija Ljubljana,1,2,A
21/08/94,Potrošnik Beltinci,Relax Korotan,4,2,H
21/08/94,Izola,Primorje,2,2,D
21/08/94,Maribor,Gaj Kočevje,6,1,H
21/08/94,Živila Naklo,Celje,0,0,D
21/08/94,Ljubljana,Set Vevče,4,0,H
21/08/94,Gorica,Koper,5,1,H
26/08/94,Celje,Gorica,2,0,H
28/08/94,Set Vevče,Olimpija Ljubljana,0,5,A
28/08/94,Gaj Kočevje,Rudar Velenje,2,2,D
28/08/94,Primorje,Maribor,2,2,D
28/08/94,Mura,Izola,4,1,H
28/08/94,Relax Korotan,Jadran Dekani,6,0,H
28/08/94,Koper,Potrošnik Beltinci,0,1,A
28/08/94,Ljubljana,Živila Naklo,1,1,D
10/09/94,Jadran Dekani,Koper,0,1,A
10/09/94,Olimpija Ljubljana,Gaj Kočevje,4,0,H
11/09/94,Izola,Relax Korotan,3,1,H
11/09/94,Potrošnik Beltinci,Celje,1,1,D
11/09/94,Živila Naklo,Set Vevče,0,0,D
11/09/94,Gorica,Ljubljana,2,4,A
11/09/94,Rudar Velenje,Primorje,2,0,H
11/09/94,Maribor,Mura,1,0,H
17/09/94,Set Vevče,Gaj Kočevje,3,0,H
18/09/94,Primorje,Olimpija Ljubljana,1,3,A
18/09/94,Mura,Rudar Velenje,4,2,H
18/09/94,Relax Korotan,Maribor,0,1,A
18/09/94,Koper,Izola,1,1,D
18/09/94,Ljubljana,Potrošnik Beltinci,2,1,H
18/09/94,Živila Naklo,Gorica,0,0,D
18/09/94,Celje,Jadran Dekani,2,1,H
23/09/94,Olimpija Ljubljana,Mura,2,1,H
24/09/94,Potrošnik Beltinci,Živila Naklo,4,0,H
24/09/94,Izola,Celje,0,3,A
24/09/94,Maribor,Koper,2,0,H
25/09/94,Rudar Velenje,Relax Korotan,0,1,A
25/09/94,Gaj Kočevje,Primorje,0,0,D
25/09/94,Gorica,Set Vevče,6,1,H
25/09/94,Jadran Dekani,Ljubljana,1,4,A
01/10/94,Set Vevče,Primorje,1,1,D
02/10/94,Mura,Gaj Kočevje,4,0,H
02/10/94,Relax Korotan,Olimpija Ljubljana,1,3,A
02/10/94,Koper,Rudar Velenje,1,2,A
02/10/94,Ljubljana,Izola,4,1,H
